VersionTRD,CodigoReferencia,CodigoGeografico,CodigoSerie,Serie,CodigoSubserie,Subserie,CodigoSerieSubserie,Asunto,EstadoExpediente,FechaCierre,EstadoFaseArchivo,Volumen,NoFolios,NumeroDocumentos,FechaInicial,FechaFinal,NumeroCajaCustodioASE,NumeroCarpetaCustodioASE,Deposito,Area,Piso,TipoMobiliario,Bloque,Lado,Estante,Entrepaño,NumeroCajaFisica,NumeroCarpetaFisica,UbicacionArchivoGestion,UbicacionArchivoCentralASE,UbicacionArchivoHistorico,Unidadqueelaboró,Contenido,NumerodeOrden,Fondo,Subfondo,Seccion,Subseccion,UnidadConservacionySoporte,ArchivoaTransferir,Observaciones,AgrupacionDocumental,Disposicion Final,NumeroCajaCustodio,NumeroCarpetaCustodio,Estado,HojaOrigen
,VRAC-FAC-CEA-DF,BOG,,CORRESPONDENCIA,15,CONSECUTIVO DE CARTAS,15.7,CONSECUTIVOS 0186 A 0200 DE 2018,CERRADO,18/06/2018,ARCHIVO HISTORICO,1,145,,14/06/2018,18/06/2018,,,DC,,,RO,,,,,330,5095,,,CJ330-CP5095,DECANATURA FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS ,"CARTAS
PROCESOS DISCIPLINARIOS
EXCUSAS
PROYECTOS DE INVESTIGACION",98,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ADMINISTRATIVA,FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,DECANATURA,CARPETA,ARCHIVO HISTORICO,"CODIGO SERIE/ SUBSERIE 15,7",,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACCEADF2023
,VRAC-FAC-CEA-PRE-CAE,BOG,,ACREDITACION,,ACREDITACION DE PROGRAMAS ACADEMICOS,,HOJAS DE VIDA DE PROFESORES,CERRADO,18/08/2003,ARCHIVO HISTORICO,1,,,14/08/2003,18/08/2003,,,DC,,,RO,16,B,3,7,12,757,,,B16-LB-ES3-EN7-CJ12-CP757,,OTROS DEPARTAMENTOS,54,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,CARRERA DE ADMINISTRACION DE EMPRESAS,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACCEAPRECAE2018
,VRAC-FAC-CEA-PRE-CEC,BOG,,PROGRAMAS ACADEMICOS,,,,REFLEXION CURRICULAR (1/2),CERRADO,18/09/2002,ARCHIVO HISTORICO,1,,,30/07/2002,18/09/2002,,1,DC,,,RO,21,A,2,3,24,850,,,B21-LA-ES2-EN3-CJ24-CP850,FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,INFORMES ACREDITACION,1,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,CARRERA DE ECONOMIA,CARPETA,ARCHIVO HISTORICO,AZ EN ESTADO NATURAL SE PASO A CARPETA ,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACCEAPRECEC2022
,VRAC-FAC-CEA-PRE-CEC,BOG,,PROGRAMAS ACADEMICOS,,,,REFLEXION CURRICULAR (2/2),CERRADO,18/09/2002,ARCHIVO HISTORICO,1,,,30/07/2002,18/09/2002,,,DC,,,RO,21,A,2,3,24,851,,,B21-LA-ES2-EN3-CJ24-CP851,FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,INFORMES ACREDITACION,2,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,CARRERA DE ECONOMIA,CARPETA,ARCHIVO HISTORICO,AZ EN ESTADO NATURAL SE PASO A CARPETA ,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACCEAPRECEC2022
,VRAC-FAC-CEA-DF,BOG,,REDES DE COOPERACION,,,,COMUNICACIONES PARA MANTENER Y PROMOVER RELACIONES DE COOPERACION 2011 A 2014,CERRADO,18/11/2014,ARCHIVO HISTORICO,1,207,,23/02/2011,18/11/2014,,,DC,,,RO,,,,,324,5006,,,CJ324-CP5006,DECANATURA FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS ,"CARTAS
PARTICIPACIONES DE CONCURSOS ",9,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ADMINISTRATIVA,FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,DECANATURA,CARPETA,ARCHIVO HISTORICO,INCLUYE UN CD,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACCEADF2023
,VRAC-FAC-CEA-DEP-DAD,BOG,,ACTAS ,,ACTAS DEL COMITE DEL DEPARTAMENTO,,ACTAS REFORMA CURRICULAR ,CERRADO,18/11/2016,ARCHIVO HISTORICO,1,30,,28/03/2016,18/11/2016,,,DC,,,RO,20,B,5,7,22,829,,,B20-LB-ES5-EN7-CJ22-CP829,DEPARTAMENTO DE ADMINISTRACION,ACTAS,4,PONTIFICIA UNIVERSIDAD JAVERIANA,PONTIFICIA UNIVERSIDAD JAVERIANA,PONTIFICIA UNIVERSIDAD JAVERIANA,PONTIFICIA UNIVERSIDAD JAVERIANA,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACCEADEPDAD2019
,VRAC-FAC-CEA-DEP-DAD,BOG,,EVENTOS ,,EVENTOS INSTITUCIONALES,,CORRESPONDENCIA,CERRADO,18/12/2013,ARCHIVO HISTORICO,1,156,,29/06/2012,18/12/2013,,,DC,,,RO,21,A,2,4,26,870,,,B21-LA-ES2-EN4-CJ26-CP870,DEPARTAMENTO DE ADMINISTRACION,"INFORME
PRESUPUESTO
ASISTENTES",2,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,DEPARTAMENTO DE ADMINISTRACION,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACCEADEPDAD2023
,VRAC-FAC-CEA-DF,BOG,,MEDIO UNIVERSITARIO,54,BIENESTAR,54.15,ASUNTOS ESTUDIANTILES CARRERA ADMINISTRACION DE EMPRESAS (1/2),CERRADO,18/12/2014,ARCHIVO HISTORICO,1,199,,29/10/2013,18/12/2014,,,DC,,,RO,,,,,332,5122,,,CJ332-CP5122,DECANATURA FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS ,"CARTAS
GRADOS PRIVADOS ",125,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ADMINISTRATIVA,FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,DECANATURA,CARPETA,ARCHIVO HISTORICO,"CODIGO SERIE/ SUBSERIE 54,15",,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACCEADF2023
,VRAC-FAC-CEA-DF,BOG,,MEDIO UNIVERSITARIO,,BIENESTAR,,ASUNTOS ESTUDIANTILES CARRERA ADMINISTRACION DE EMPRESAS  (2/2),CERRADO,18/12/2014,ARCHIVO HISTORICO,1,152,,27/10/2013,18/12/2014,,,DC,,,RO,,,,,332,5123,,,CJ332-CP5123,DECANATURA FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS ,CARTAS,126,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ADMINISTRATIVA,FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,DECANATURA,CARPETA,ARCHIVO HISTORICO,INCLUYE UN CD,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACCEADF2023
,VRAC-FAC-CEA-DF,BOG,,CORRESPONDENCIA,,CONSECUTIVO DE CARTAS,15.7,CONSECUTIVOS 0551 A 0600 DE 2015 (1/2),CERRADO,18/12/2015,ARCHIVO HISTORICO,1,27,,17/11/2015,18/12/2015,,,DC,,,RO,,,,,327,5057,,,CJ327-CP5057,DECANATURA FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS ,"CARTAS
RETIROS DE ASIGNATURAS
ACTAS
APOYOS FINANCIEROS
CERTIFCACIONES
EXCUSAS
PROCESOS DISCIPLINARIOS",60,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ADMINISTRATIVA,FACULTAD DE CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,DECANATURA,CARPETA,ARCHIVO HISTORICO,"CODIGO SERIE/ SUBSERIE 15,7",,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACCEADF2023
