VersionTRD,CodigoReferencia,CodigoGeografico,CodigoSerie,Serie,CodigoSubserie,Subserie,CodigoSerieSubserie,Asunto,EstadoExpediente,FechaCierre,EstadoFaseArchivo,Volumen,NoFolios,NumeroDocumentos,FechaInicial,FechaFinal,NumeroCajaCustodioASE,NumeroCarpetaCustodioASE,Deposito,Area,Piso,TipoMobiliario,Bloque,Lado,Estante,Entrepaño,NumeroCajaFisica,NumeroCarpetaFisica,UbicacionArchivoGestion,UbicacionArchivoCentralASE,UbicacionArchivoHistorico,Unidadqueelaboró,Contenido,NumerodeOrden,NumerodeOrden,Fondo,Subfondo,Seccion,Subseccion,UnidadConservacionySoporte,ArchivoaTransferir,Observaciones,AgrupacionDocumental,Disposicion Final,NumeroCajaCustodio,NumeroCarpetaCustodio,Estado,HojaOrigen
,VRAC-FAC-AD-PRE-CAR,BOG,,ACTAS,,ACTAS DE COMITE DEPARTAMENTO,,ACTAS DE COMITE DEPARTAMENTO AÑO 2015,CERRADO,11/12/2015,ARCHIVO HISTORICO,2,21,,23/01/2015,11/12/2015,,,DC,RO,,RO,16,B,5,7,68,1181,,,B16-LB-ES5-EN7-CJ68-CP1181,DEPARTAMENTO DE DISEÑO,"ACTA 0132
ACTA 0133
ACTA 0134
ACTA 0135
ACTA 0136
ACTA 0137 
ACTA 0138
ACTA 0139
ACTA 0140
ACTA 0141
ACTA 0142",4,11,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARQUITECTURA Y DISEÑO,DEPARTARMENTO DE DISEÑO,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACADDEPDDI2023
,VRAC-FAC-AD-PRE-CAR,BOG,,ACTAS,,ACTAS DE COMITE DEPARTAMENTO,,ACTAS DE COMITE DEPARTAMENTO AÑO 2016,CERRADO,30/11/2016,ARCHIVO HISTORICO,2,29,,18/10/2016,30/11/2016,,,DC,RO,,RO,16,B,5,7,68,1182,,,B16-LB-ES5-EN7-CJ68-CP1182,DEPARTAMENTO DE DISEÑO,"ACTA DE REUNION NUMERO 143
ACTA DE REUNION NUMERO 144
ACTA DE REUNION NUMERO 145
ACTA DE REUNION NUMERO 146
ACTA DE REUNION NUMERO 147
ACTA DE REUNION NUMERO 148
ACTA DE REUNION NUMERO 149",5,12,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARQUITECTURA Y DISEÑO,DEPARTARMENTO DE DISEÑO,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACADDEPDDI2023
,VRAC-FAC-AD-PRE-CAR,BOG,,ACTAS,,ACTAS DE COMITE DEPARTAMENTO,,ACTAS DE COMITE DEPARTAMENTO AÑO 2017,CERRADO,05/12/2017,ARCHIVO HISTORICO,2,44,,18/01/2017,05/12/2017,,,DC,RO,,RO,16,B,5,7,68,1183,,,B16-LB-ES5-EN7-CJ68-CP1183,DEPARTAMENTO DE DISEÑO,"ACTA DE REUNION NUMERO 150
ACTA DE REUNION NUMERO 150
ACTA DE REUNION NUMERO 151
ACTA DE REUNION NUMERO 152
ACTA DE REUNION NUMERO 153
ACTA DE REUNION NUMERO 154
ACTA DE REUNION NUMERO 155
ACTA DE REUNION NUMERO 156
ACTA DE REUNION NUMERO 157
ACTA DE REUNION NUMERO 158
ACTA DE REUNION NUMERO 159
ACTA DE REUNION NUMERO 160
ACTA DE REUNION NUMERO 161
ACTA DE REUNION NUMERO 162",6,13,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARQUITECTURA Y DISEÑO,DEPARTARMENTO DE DISEÑO,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACADDEPDDI2023
,VRAC-FAC-AD-PRE-CAR,BOG,,ACTAS,,ACTAS DE COMITE DEPARTAMENTO,,ACTAS DE COMITE DEPARTAMENTO AÑO 2018,CERRADO,07/12/2018,ARCHIVO HISTORICO,2,23,,05/2018,07/12/2018,,,DC,RO,,RO,,,,,,,,,,DEPARTAMENTO DE DISEÑO,,7,14,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARQUITECTURA Y DISEÑO,DEPARTARMENTO DE DISEÑO,CARPETA,ARCHIVO HISTORICO,LA CARPETA NO INGRESO EN LA TRANSFERENCIA DOCUMENTAL,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACADDEPDDI2023
,VRAC-FAC-AD-DF,BOG,,ACTAS,,ACTAS DEL COMITE DE INVESTIGACIONES,,COMITE DE INVESTIGACION Y ETICA,CERRADO,2014,ARCHIVO HISTORICO,1,169,,21/01/2013,01/04/2014,,,DC,,,RO,17,A,3,7,62,1120,,,B17-LA-ES3-EN7-CJ62-CP1120,DECANATURA DE LA FACULTAD,"ACTAS
COMUNICADOS
PROPUESTAS DE INVESTIGACION
APLICACION WEB DE AUTODIAGNOSTICO EN GESTION DE DISEÑO Y DESARROLLO DE PRODUCTOS: CREACION E INNOVACION COMO PROCESO EVOLUTIVO ABIERTO EN LOS MUNDOS VIRTUALES
NUEVA POLITICA DE INVESTIGACION EN LA UNIVERSIDAD
ENSAYOS EN MESA VIBRATORIA DE CAPILLAS DOCTRINERAS
HASTA EL CUELLO
ANALISIS DE LAS MEMORAS DESCRIPTIVAS
ENTRE OTROS",1,15,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARQUITECTURA Y DISEÑO,DECANATURA DE FACULTAD,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACADDF2018
,VRAC-FAC-AD-DF,BOG,,ACTAS,,ACTAS DEL COMITE DE INVESTIGACIONES,,COMITE DE INVESTIGACION Y ETICA,CERRADO,2014,ARCHIVO HISTORICO,3,214,,19/03/2014,29/07/2014,,,DC,,,RO,17,A,3,7,62,1121,,,B17-LA-ES3-EN7-CJ62-CP1121,DECANATURA DE LA FACULTAD,"ACTAS
COMUNICADOS
PROPUESTAS DE INVESTIGACION
DISEÑO DE UN SERVICIO DE CUIDADO DE LA SALUD AMIGABLE CON LOS NIÑOS DEL SERVICIO DE PEDIATRIA HUSI
ESPACIOS PLEGADOS
EXPLORACION TEORICA Y MORFOLOGICA
ESTUDIO COMPARATIVO ENTRE LOS MACROPROYECTOS FORMULADOS EN COLOMBIA CON LOS NEW TOWN
TALLER DE CARTOGRAFIA SOCIAL DEL PATRIMONIO",2,16,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARQUITECTURA Y DISEÑO,DECANATURA DE FACULTAD,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACADDF2018
,VRAC-FAC-AD-DF,BOG,,ACTAS,,ACTAS DEL COMITE DE INVESTIGACIONES,,COMITE DE INVESTIGACION Y ETICA,CERRADO,2014,ARCHIVO HISTORICO,2,155,,28/04/2014,28/04/2014,,,DC,,,RO,17,A,3,7,62,1122,,,B17-LA-ES3-EN7-CJ62-CP1122,DECANATURA DE LA FACULTAD,"ACTAS
COMUNICADOS
PROPUESTAS DE INVESTIGACION
APROXIMACION COMPRENSIVA A LA CONTRUCCION TERRITORIAL DE AGUA DE DIOS
VALORACION PATRIMONIAL DEL FC DE LA DORADA, DESDE LA TRANSFORMACION DEL TERRITORIO EN EL TRANSITO ENTRE EL BAJO Y EL ALTO MAGDALENA",3,17,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARQUITECTURA Y DISEÑO,DECANATURA DE FACULTAD,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACADDF2018
,VRAC-FAC-AD-DF,BOG,,ACTAS,,ACTAS DEL COMITE DE INVESTIGACIONES,,COMITE DE INVESTIGACION Y ETICA,CERRADO,2014,ARCHIVO HISTORICO,4,196,,26/08/2014,31/10/2014,,,DC,,,RO,17,A,3,7,62,1123,,,B17-LA-ES3-EN7-CJ62-CP1123,DECANATURA DE LA FACULTAD,"ACTAS
COMUNICADOS
PROPUESTAS DE INVESTIGACION
EL PERFIL ETICO DEL DOCENTE Y DEL PROFESIONAL DISEÑADOR INDUSTRIAL JAVERIANO
CONTRASTE SONORO EL DISEÑO DE ARTEFACTOS SONOROS URBANOS
LA CIUDAD COMO CANTERA URBANA, UNA DEMOLICION CONSTRUCTIVA, ANALISIS Y MANIPULACION
DEFINICION DE PARAMETROS FORMALES DE ASIENTO Y DEL ESPALDAR DE SILLAS ESCOLARES",4,18,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARQUITECTURA Y DISEÑO,DECANATURA DE FACULTAD,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACADDF2018
,VRAC-FAC-AD-DF,BOG,,ACTAS,,ACTAS DEL COMITE DE INVESTIGACIONES,,COMITE DE INVESTIGACION Y ETICA,CERRADO,2015,ARCHIVO HISTORICO,7,246,,10/12/2014,16/12/2015,,,DC,,,RO,17,A,3,7,62,1124,,,B17-LA-ES3-EN7-CJ62-CP1124,DECANATURA DE LA FACULTAD,"ACTAS
COMUNICADOS
PROPUESTAS DE INVESTIGACION
ARQUITECTURA DE LOS COLEGIOS DE LA COMPAÑIA DE JESUS EN COLOMBIA
FORMULACION DE INDICADORES PARA CAMPUS SUSTENTABLES EN EL CONTEXTO DE AUSJAL
INFORME PROYECTO HACIA UN MODELO DE ORDENAMIENTO LOCAL DEL TERRITORIO
ESTUDIO COMPARATIVO ENTRE MACRO PROYECTOS URBANOS
ANALISIS DE LAS MEMORIAS DESCRIPTIVAS Y PLANIMETRIAS DEL PROYECTO ARQUITECTONICO EN LAS BIENALES
JUSTICIA ESPACIAL URBANA, CONCEPTOS Y METODOS DE MEDICION",5,19,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARQUITECTURA Y DISEÑO,DECANATURA DE FACULTAD,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACADDF2018
,VRAC-FAC-AD-DF,BOG,,ACTAS,,ACTAS DEL COMITE DE INVESTIGACIONES,,COMITE DE INVESTIGACION Y ETICA,CERRADO,2015,ARCHIVO HISTORICO,5,205,,10/09/2014,05/05/2015,,,DC,,,RO,17,A,3,7,62,1125,,,B17-LA-ES3-EN7-CJ62-CP1125,DECANATURA DE LA FACULTAD,"ACTAS
COMUNICADOS
PROPUESTAS DE INVESTIGACION
LA IDEA DE MATERIALIDAD EN LA CREACION DEL OBJETO ARQUITECTONICO
UN ANALISIS DE LA CREACION FORMAL
ESTUDIO EXPLORATIVO DE LAS PRACTICAS PRE PROFESIONALES DE LA CARRERA DE DISEÑO INDUSTRIAL
CENTRO HISTORICO Y TERRITORIO, ECOSISTEMA CULTURAL MOMPOSINO
ESTADO DEL ARTE EN LA INVESTIGACION PROYECTUAL EN DISEÑO
EMPRENDIMIENTO EN EL DISEÑADOR INDUSTRIAL EN COLOMBIA
ANALISIS DE LAS MEMORIAS DESCRIPTIVAS Y PLANIMETRIAS DEL PROYECTO ARQUITECTONICO EN LAS BIENALES
DECISION COMITE ASESOR DE INVESTIGACION FRENTE AL PROYECTO EL PERFIL ETICO DEL DOCENTE Y PROFESIONAL DISEÑADOR INDUSTRIAL JAVERIANO EN COLOMBIA
CARTA NOMBRAMIENTO Y AGRADECIMIENTO ASESORES EXTERNOS
EL PAPEL DE LA TECNOLOGIA COMO RESPUESTA AL GRADO DE INSOSTENIBILIDAD AMBIENTAL",6,20,PONTIFICIA UNIVERSIDAD JAVERIANA,VICERRECTORIA ACADEMICA,FACULTAD DE ARQUITECTURA Y DISEÑO,DECANATURA DE FACULTAD,CARPETA,ARCHIVO HISTORICO,,,CONSERVACION TOTAL,,,PENDIENTE,MAESTDPVRACFACADDF2018
